Team name,Player name,Number,Position,URL,Mugshot
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,JACKSON CORPUZ,,,players/jackson-corpuz,https://dashboard.pba.ph/assets/players/Corpuz23.png
SAN MIGUEL BEERMEN,JERICHO CRUZ,#39,,players/jericho-cruz,https://dashboard.pba.ph/assets/players/Cruz23.png
BARANGAY GINEBRA SAN MIGUEL,LOUIS RAPHAEL CU,#18,F G,players/louis-raphael-cu,https://dashboard.pba.ph/assets/players/Cu.png
NORTH PORT BATANG PIER,DAMIE CUNTAPAY,#37,C F,players/damie-cuntapay,https://dashboard.pba.ph/assets/players/24Cuntapay.png
RAIN OR SHINE ELASTOPAINTERS,KEITH DATU,#21,C F,players/keith-datu,https://dashboard.pba.ph/assets/players/Datu23.png
PHOENIX FUEL MASTERS,MATTHEW DAVES,#12,C F,players/matthew-daves,https://dashboard.pba.ph/assets/players/Daves23.png
BLACKWATER ELITE,CHRISTIAN DAVID,#25,C F,players/christian-david,https://dashboard.pba.ph/assets/players/noimage.png
BARANGAY GINEBRA SAN MIGUEL,JAYSON DAVID,#24,G,players/jayson-david,https://dashboard.pba.ph/assets/players/J_David.png
CONVERGE FIBERXERS,JOHN LOUISSE (JL) DE LOS SANTOS,#24,Forward,players/john-louisse-jl-de-los-santos,https://dashboard.pba.ph/assets/players/Delos_Santos13.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,ROME DELA ROSA,,,players/rome-dela-rosa,https://dashboard.pba.ph/assets/players/Dela_Rosa23.png
CONVERGE FIBERXERS,JOHN LOUISEE DELOS SANTOS,#24,F,players/john-louisee-delos-santos,http://se-img.dcd-production.i.geniussports.com/c5b2b8244a50c4c5515e70a396b2553eT1.png
RAIN OR SHINE ELASTOPAINTERS,NICK DEMUSIS,#31,F G,players/nick-demusis,https://dashboard.pba.ph/assets/players/Demusis23.png
BLACKWATER ELITE,MICHAEL DIGREGORIO,,,players/michael-digregorio,https://dashboard.pba.ph/assets/players/HinDiGregorio.png
BARANGAY GINEBRA SAN MIGUEL,JARED DILLINGER,,,players/jared-dillinger,https://dashboard.pba.ph/assets/players/Dillinger_(1).png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,ARISTOTLE DIONISIO,#57,C F,players/aristotle-dionisio,https://dashboard.pba.ph/assets/players/Dionisio23.png
TNT TROPANG GIGA,KEVIN BARKLEY EBONA,#8,C,players/kevin-barkley-ebona,https://dashboard.pba.ph/assets/players/24Ebona.png
SAN MIGUEL BEERMEN,SIMON NICHOLAS ENCISO,#0,G,players/simon-nicholas-enciso,https://dashboard.pba.ph/assets/players/Enciso23.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,JOSEPH ERIOBU,#88,F,players/joseph-eriobu,https://dashboard.pba.ph/assets/players/Eriobu23.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,RUSSEL ESCOTO,,,players/russel-escoto,https://dashboard.pba.ph/assets/players/Escoto23.png
BLACKWATER ELITE,RICHARD ESCOTO,#23,F G,players/richard-escoto,https://dashboard.pba.ph/assets/players/RaselEscoto.png
NLEX ROAD WARRIORS,DOMINIC FAJARDO,#19,F G,players/dominic-fajardo,https://dashboard.pba.ph/assets/players/D_Fajard23o.png
SAN MIGUEL BEERMEN,JUNE MAR FAJARDO,,,players/june-mar-fajardo,https://dashboard.pba.ph/assets/players/Fajardo23.png
NLEX ROAD WARRIORS,DOMINIC FAJARDO,#19,F G,players/dominic-fajardo,https://dashboard.pba.ph/assets/players/D_Fajard23o.png
TERRAFIRMA DYIP,KEVIN FERRER,,,players/kevin-ferrer,https://dashboard.pba.ph/assets/players/Ferrer-v2.png
NORTH PORT BATANG PIER,CADE FLORES,#22,C F,players/cade-flores,https://dashboard.pba.ph/assets/players/C_Flores23.png
CONVERGE FIBERXERS,INAND FORNILOS,#0,F G,players/inand-fornilos,https://dashboard.pba.ph/assets/players/Fornilos23.png
CONVERGE FIBERXERS,INAND FORNILOS,#0,F G,players/inand-fornilos,https://dashboard.pba.ph/assets/players/Fornilos23.png
TNT TROPANG GIGA,HENRY GALINATO,#32,Forward,players/henry-galinato,https://dashboard.pba.ph/assets/players/Galinato23.png
TNT TROPANG GIGA,HENRY GALINATO JR.,#32,C F,players/henry-galinato-jr.,http://se-img.dcd-production.i.geniussports.com/f8824fcbee03c8ec174ca440d225c318T1.png
TNT TROPANG GIGA,BRANDON ARNELL GANUELAS-ROSSER,#99,C F,players/brandon-arnell-ganuelas-rosser,https://dashboard.pba.ph/assets/players/24BGR.png
TNT TROPANG GIGA,MATT GANUELAS-ROSSER,,,players/matt-ganuelas-rosser,https://dashboard.pba.ph/assets/players/Rosse23r.png
PHOENIX FUEL MASTERS,RR GARCIA,#8,G,players/rr-garcia,https://dashboard.pba.ph/assets/players/Garcia.23png.png
TERRAFIRMA DYIP,GEORGE ISAAC GO,#11,C F,players/george-isaac-go,https://dashboard.pba.ph/assets/players/Go23.png
TERRAFIRMA DYIP,JAVIER GOMEZ DE LIANO,#22,F G,players/javier-gomez-de-liano,https://dashboard.pba.ph/assets/players/Gomez_de_Lia23no.png
BLACKWATER ELITE,BRADWYN GUINTO,#5,C F,players/bradwyn-guinto,https://dashboard.pba.ph/assets/players/Guinto_23.png
BARANGAY GINEBRA SAN MIGUEL,DONALD GUMARU,#20,G,players/donald-gumaru,https://dashboard.pba.ph/assets/players/Gumaru.png
NLEX ROAD WARRIORS,ROBERT CONRAD HERNDON,,,players/robert-conrad-herndon,https://dashboard.pba.ph/assets/players/Herndo23n.png
TNT TROPANG GIGA,BRIAN HERUELA,,,players/brian-heruela,https://dashboard.pba.ph/assets/players/Heruela23.png
BLACKWATER ELITE,TYRUS HILL,#9,C F,players/tyrus-hill,https://dashboard.pba.ph/assets/players/Hillichurls.png
MERALCO BOLTS,CLIFF HODGE,#7,F,players/cliff-hodge,https://dashboard.pba.ph/assets/players/Hodge23.png
TERRAFIRMA DYIP,STEPHEN JEFFREY HOLT,#2,F G,players/stephen-jeffrey-holt,http://se-img.dcd-production.i.geniussports.com/8117923df05d4d97b091809b6174a218T1.png
TNT TROPANG GIGA,RAHLIR HONDAE-JEFFERSON,#0,Forward,players/rahlir-hondae-jefferson,https://dashboard.pba.ph/assets/players/mensplaceholder.png
BLACKWATER ELITE,REGILE KENT ILAGAN,#0,PG,players/regile-kent-ilagan,https://dashboard.pba.ph/assets/players/Ilagilagan.png
RAIN OR SHINE ELASTOPAINTERS,SHAUN ILDEFONSO,#10,G,players/shaun-ildefonso,https://dashboard.pba.ph/assets/players/Ildefonso23.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,JIO JALALON,,,players/jio-jalalon,https://dashboard.pba.ph/assets/players/Jalalon23.png
PHOENIX FUEL MASTERS,RJ JAZUL,,,players/rj-jazul,https://dashboard.pba.ph/assets/players/Jazul23.png
SAN MIGUEL BEERMEN,KYT JIMENEZ,#76,Guard,players/kyt-jimenez,https://dashboard.pba.ph/assets/players/Jimenez23.png
BLACKWATER ELITE,CLIFFORD JOPIA,#13,C F,players/clifford-jopia,https://dashboard.pba.ph/assets/players/24Jopia.png
MERALCO BOLTS,RAYMAR JOSE,,,players/raymar-jose,https://dashboard.pba.ph/assets/players/Jose23.png
TNT TROPANG GIGA,GLENN KHOBUNTIN,,,players/glenn-khobuntin,https://dashboard.pba.ph/assets/players/Khobuntin23.png
BLACKWATER ELITE,JAMES KWEKUTEYE,#7,Guard,players/james-kwekuteye,https://dashboard.pba.ph/assets/players/Kwekut23eye.png
PHOENIX FUEL MASTERS,CHRIS LALATA,#6,F,players/chris-lalata,https://dashboard.pba.ph/assets/players/Lalata23.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,JAMES LAPUT,#42,C,players/james-laput,https://dashboard.pba.ph/assets/players/Laput23.png
SAN MIGUEL BEERMEN,MARCIO LASSITER,#13,G,players/marcio-lassiter,https://dashboard.pba.ph/assets/players/Lassiter.23png.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,PAUL LEE,,,players/paul-lee,https://dashboard.pba.ph/assets/players/Lee23.png
NORTH PORT BATANG PIER,ZAVIER LUCERO,#7,Forward,players/zavier-lucero,https://dashboard.pba.ph/assets/players/
CONVERGE FIBERXERS,PATRICK MAAGDENBERG,#4,C F,players/patrick-maagdenberg,https://dashboard.pba.ph/assets/players/Maagdenberg23.png
CONVERGE FIBERXERS,PATRICK MAAGDENBERG,#4,C F,players/patrick-maagdenberg,https://dashboard.pba.ph/assets/players/Maagdenberg23.png
MERALCO BOLTS,ALLEIN MALIKSI,,,players/allein-maliksi,https://dashboard.pba.ph/assets/players/Maliksi23.png
SAN MIGUEL BEERMEN,JOHN TROY MALLILIN,#4,F G,players/john-troy-mallilin,https://dashboard.pba.ph/assets/players/Mallilin23.png
BARANGAY GINEBRA SAN MIGUEL,JAMIE MALONZO,#3,C F,players/jamie-malonzo,https://dashboard.pba.ph/assets/players/malonezo.png
RAIN OR SHINE ELASTOPAINTERS,GIAN MAMUYAC,#3,G,players/gian-mamuyac,https://dashboard.pba.ph/assets/players/Mamuyac23.png
PHOENIX FUEL MASTERS,SEAN PAUL MANGANTI,#2,F G,players/sean-paul-manganti,https://dashboard.pba.ph/assets/players/Mangant23i.png
SAN MIGUEL BEERMEN,VIC MANUEL,,,players/vic-manuel,https://dashboard.pba.ph/assets/players/Manuel23.png
NLEX ROAD WARRIORS,DAVE MARCELO,#22,C,players/dave-marcelo,https://dashboard.pba.ph/assets/players/Marcel23o.png
CONVERGE FIBERXERS,ALJUN MELECIO,#11,G,players/aljun-melecio,https://dashboard.pba.ph/assets/players/Melecio23.png
MERALCO BOLTS,JOSE LORENZO MENDOZA,#10,F G,players/jose-lorenzo-mendoza,https://dashboard.pba.ph/assets/players/noimage.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,JONATHAN JED MENDOZA,#65,F G,players/jonathan-jed-mendoza,https://dashboard.pba.ph/assets/players/Mendoza23.png
TERRAFIRMA DYIP,ALLEN MINA,#29,Guard,players/allen-mina,https://dashboard.pba.ph/assets/players/Mina23.png
NLEX ROAD WARRIORS,MICHAEL MIRANDA,,,players/michael-miranda,https://dashboard.pba.ph/assets/players/Miranda23.png
PHOENIX FUEL MASTERS,JAVEE MOCON,,,players/javee-mocon,https://dashboard.pba.ph/assets/players/Mocon23.png
TNT TROPANG GIGA,KIRELL BRAHNDON MONTALBO,#15,G,players/kirell-brahndon-montalbo,https://dashboard.pba.ph/assets/players/Montalbo23.png
NORTH PORT BATANG PIER,JOSHUA MUNZON,#24,F G,players/joshua-munzon,https://dashboard.pba.ph/assets/players/Munzon23.png
PHOENIX FUEL MASTERS,LARRY MUYANG,#1,C F,players/larry-muyang,https://dashboard.pba.ph/assets/players/Muyang23.png
BLACKWATER ELITE,REY BENEDICT NAMBATAC,,,players/rey-benedict-nambatac,https://dashboard.pba.ph/assets/players/24Nambatec.png
NORTH PORT BATANG PIER,WILLIAM RANIEL NAVARRO,#23,C F,players/william-raniel-navarro,https://dashboard.pba.ph/assets/players/Navarro23.png
NLEX ROAD WARRIORS,JHAN MCHALE NERMAL,#29,Forward,players/jhan-mchale-nermal,https://dashboard.pba.ph/assets/players/Ner23mal.png
NLEX ROAD WARRIORS,JHAN MCHALE NERMAL,#29,Forward,players/jhan-mchale-nermal,https://dashboard.pba.ph/assets/players/Ner23mal.png
MERALCO BOLTS,CHRIS NEWSOME,#11,G,players/chris-newsome,https://dashboard.pba.ph/assets/players/Newsome23.png
NLEX ROAD WARRIORS,MATTHEW NIETO,#31,guard,players/matthew-nieto,https://dashboard.pba.ph/assets/players/M_Nieto23.png
CONVERGE FIBERXERS,MICHAEL JOSEPH NIETO,#7,F G,players/michael-joseph-nieto,https://dashboard.pba.ph/assets/players/Nieto23.png
RAIN OR SHINE ELASTOPAINTERS,ADRIAN CLARENCE NOCUM,#1,,players/adrian-clarence-nocum,https://dashboard.pba.ph/assets/players/mensplaceholder.png
RAIN OR SHINE ELASTOPAINTERS,GABRIEL DANIEL NORWOOD,,,players/gabriel-daniel-norwood,https://dashboard.pba.ph/assets/players/Norwood23.png
TNT TROPANG GIGA,CALVIN JOHN OFTANA,#8,F,players/calvin-john-oftana,https://dashboard.pba.ph/assets/players/Oftana23.png
TERRAFIRMA DYIP,TOMMY YORK OLIVARIO,#6,G,players/tommy-york-olivario,https://dashboard.pba.ph/assets/players/Olivario23.png
BARANGAY GINEBRA SAN MIGUEL,SIDNEY ONWUBERE,,,players/sidney-onwubere,https://dashboard.pba.ph/assets/players/shedne.png
NORTH PORT BATANG PIER,BRENT PARAISO,#38,F G,players/brent-paraiso,https://dashboard.pba.ph/assets/players/Paraiso23.png
MERALCO BOLTS,ALVIN PASAOL,#23,G,players/alvin-pasaol,https://dashboard.pba.ph/assets/players/Pasaol23.png
MERALCO BOLTS,KYLE NICHOLAS PASCUAL,#32,C F,players/kyle-nicholas-pascual,https://dashboard.pba.ph/assets/players/K_Pascual23.png
NLEX ROAD WARRIORS,JAKE PASCUAL,,,players/jake-pascual,https://dashboard.pba.ph/assets/players/J_Pascu23al.png
SAN MIGUEL BEERMEN,JAYMAR PEREZ,,,players/jaymar-perez,https://dashboard.pba.ph/assets/players/Perez.23png.png
PHOENIX FUEL MASTERS,JASON PERKINS,,,players/jason-perkins,https://dashboard.pba.ph/assets/players/Perkins23.png
BARANGAY GINEBRA SAN MIGUEL,VON PESSUMAL,,,players/von-pessumal,https://dashboard.pba.ph/assets/players/tessumal.png
BARANGAY GINEBRA SAN MIGUEL,NARD JOHN PINTO,,,players/nard-john-pinto,https://dashboard.pba.ph/assets/players/Pinto.png
TNT TROPANG GIGA,ROGER POGOY,,,players/roger-pogoy,https://dashboard.pba.ph/assets/players/Pogoy23.png
TNT TROPANG GIGA,JEWEL PONFERADA,,,players/jewel-ponferada,https://dashboard.pba.ph/assets/players/Ponferrada.23png.png
BARANGAY GINEBRA SAN MIGUEL,STANLEY JR. PRINGLE,#11,G,players/stanley-jr.-pringle,https://dashboard.pba.ph/assets/players/Pringle.png
MERALCO BOLTS,KIER JOHN QUINTO,,,players/kier-john-quinto,https://dashboard.pba.ph/assets/players/Quinto23.png
TERRAFIRMA DYIP,ALDRECH RAMOS,,,players/aldrech-ramos,https://dashboard.pba.ph/assets/players/Ramos.23png.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,RAFI REAVIS,,,players/rafi-reavis,https://dashboard.pba.ph/assets/players/Reavis23.png
TNT TROPANG GIGA,RYAN REYES,,,players/ryan-reyes,https://dashboard.pba.ph/assets/players/Reyes23.png
MERALCO BOLTS,JANSEN RIOS,,,players/jansen-rios,https://dashboard.pba.ph/assets/players/Rios23.png
PHOENIX FUEL MASTERS,RICCI PAOLO RIVERO,#25,F G,players/ricci-paolo-rivero,https://dashboard.pba.ph/assets/players/Rivero23.png
NLEX ROAD WARRIORS,RICHIE RODGER,#1,PF,players/richie-rodger,https://dashboard.pba.ph/assets/players/Rodger23.png
NLEX ROAD WARRIORS,RICHIE RODGER,#1,PF,players/richie-rodger,https://dashboard.pba.ph/assets/players/Rodger23.png
SAN MIGUEL BEERMEN,TERRENCE ROMEO,,,players/terrence-romeo,https://dashboard.pba.ph/assets/players/Romeo.23png.png
NORTH PORT BATANG PIER,KRIS ROSALES,,,players/kris-rosales,https://dashboard.pba.ph/assets/players/Ro23sales_northport.png
BLACKWATER ELITE,JETH TROY ROSARIO,,,players/jeth-troy-rosario,https://dashboard.pba.ph/assets/players/Rosariotrey.png
SAN MIGUEL BEERMEN,CHRIS ROSS,,,players/chris-ross,https://dashboard.pba.ph/assets/players/Ross23.png
TERRAFIRMA DYIP,MARK LOUIE SANGALANG,#66,Forward,players/mark-louie-sangalang,https://dashboard.pba.ph/assets/players/mensplaceholder.png
TERRAFIRMA DYIP,MARK LOUIE SANGALANG,#66,Forward,players/mark-louie-sangalang,https://dashboard.pba.ph/assets/players/mensplaceholder.png
MAGNOLIA CHICKEN TIMPLADOS HOTSHOTS,IAN SANGALANG,,,players/ian-sangalang,https://dashboard.pba.ph/assets/players/Sangalang23.png
RAIN OR SHINE ELASTOPAINTERS,LEONARD SANTILLAN,#25,C F,players/leonard-santillan,https://dashboard.pba.ph/assets/players/Santillan23.png
